shape,hand,shape_name,ukeire_tiles,ukeire_type_count,ukeire_count,fixed_ryanmen_count,improve_neighbor_count,max_neighbor_ukeire_count,avg_neighbor_ukeire_count,score,distance_to_final,neighbor_count,neighbors
246778m,246778m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,16,15,6.708333,"(4, 1, 16, 15, 6.70833)",1,24,124678m 126778m 224678m 226778m 244678m 245677m 245678m 246678m 246777m 246788m 246789m 247778m 247789m 256778m 266778m 267778m 267788m 267789m 446778m 456778m 466778m 467778m 467788m 467789m
246788m,246788m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,13,15,6.250000,"(4, 1, 13, 15, 6.25)",1,24,124678m 126788m 224678m 226788m 244678m 245678m 245688m 246678m 246778m 246789m 246888m 247888m 247889m 256788m 266788m 267788m 267888m 267889m 446788m 456788m 466788m 467788m 467888m 467889m
247777m,247777m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,9,8,6.000000,"(4, 1, 9, 8, 6)",2,18,124777m 127777m 224777m 227777m 244777m 245777m 246777m 247778m 247779m 257777m 267777m 277778m 277779m 447777m 457777m 467777m 477778m 477779m
247778m,247778m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,8,8,5.333333,"(4, 1, 8, 8, 5.33333)",2,21,124777m 127778m 224777m 227778m 244777m 245777m 246777m 246778m 247777m 247779m 247789m 267778m 277778m 277788m 277789m 447778m 457778m 467778m 477778m 477788m 477789m
247779m,247779m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,5,8,4.947368,"(4, 1, 5, 8, 4.94737)",2,19,124777m 127779m 224777m 227779m 244777m 245777m 246777m 247777m 247778m 247789m 277779m 277789m 277799m 447779m 457779m 467779m 477779m 477789m 477799m
247789m,247789m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,9,8,5.217391,"(4, 1, 9, 8, 5.21739)",1,23,124789m 127789m 224789m 227789m 244789m 245789m 246778m 246789m 247778m 247779m 247889m 247899m 257789m 267789m 277789m 277889m 277899m 447789m 457789m 467789m 477789m 477889m 477899m
247888m,247888m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,9,8,5.454545,"(4, 1, 9, 8, 5.45455)",1,22,124888m 127888m 224888m 227888m 244888m 245888m 246788m 246888m 247889m 248888m 248889m 257888m 267888m 277888m 278888m 278889m 447888m 457888m 467888m 477888m 478888m 478889m
247889m,247889m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,8,8,5.090909,"(4, 1, 8, 8, 5.09091)",1,22,124789m 127889m 224789m 227889m 244789m 245789m 246788m 246789m 247789m 247888m 247899m 248889m 267889m 277889m 278889m 278899m 447889m 457889m 467889m 477889m 478889m 478899m
247899m,247899m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,8,8,5.238095,"(4, 1, 8, 8, 5.2381)",2,21,124789m 127899m 224789m 227899m 244789m 245789m 246789m 247789m 247889m 247999m 248999m 267899m 277899m 278899m 278999m 447899m 457899m 467899m 477899m 478899m 478999m
247999m,247999m33z,メンツ＋ターツ＋不要牌,3m,1,4,0,9,8,5.619048,"(4, 1, 9, 8, 5.61905)",2,21,124999m 127999m 224999m 227999m 244999m 245999m 246999m 247899m 248999m 249999m 257999m 267999m 277999m 278999m 279999m 447999m 457999m 467999m 477999m 478999m 479999m
